lat,lon,ts,timestamp_local,slp,wind_spd,wind_dir,temp,rh,dewpt,clouds,precip,solar_rad,uv,ET0_KC
-22.2499,-45.7198,1104544800,2005-01-01T00:00:00,1015,0.8,138,22.6,73,17.5,46,0.0,0,0.0,0.48
-22.2499,-45.7198,1104548400,2005-01-01T01:00:00,1015,0.8,136,21.5,79,17.7,13,0.0,0,0.0,0.44
-22.2499,-45.7198,1104552000,2005-01-01T02:00:00,1015,0.4,132,20.7,81,17.3,8,0.0,0,0.0,0.41
-22.2499,-45.7198,1104555600,2005-01-01T03:00:00,1014,0.4,70,20.4,81,17.0,14,0.0,0,0.0,0.4
-22.2499,-45.7198,1104559200,2005-01-01T04:00:00,1014,0.4,26,20.0,81,16.6,15,0.0,0,0.0,0.39
-22.2499,-45.7198,1104562800,2005-01-01T05:00:00,1014,0.0,48,20.4,79,16.6,16,0.0,0,0.0,0.4
-22.2499,-45.7198,1104566400,2005-01-01T06:00:00,1014,0.4,130,21.1,76,16.7,42,0.0,0,0.0,0.42
-22.2499,-45.7198,1104570000,2005-01-01T07:00:00,1015,0.4,150,20.4,79,16.6,72,0.0,61,1.0,0.4
-22.2499,-45.7198,1104573600,2005-01-01T08:00:00,1016,0.4,154,23.7,66,17.0,75,0.0,201,1.3,0.49
-22.2499,-45.7198,1104577200,2005-01-01T09:00:00,1016,0.0,92,24.4,66,17.6,34,0.0,532,3.2,0.47
-22.2499,-45.7198,1104580800,2005-01-01T10:00:00,1016,0.0,74,25.2,65,18.2,19,0.0,753,5.8,0.49
-22.2499,-45.7198,1104584400,2005-01-01T11:00:00,1015,0.4,92,25.9,64,18.6,31,0.0,906,7.5,0.55
-22.2499,-45.7198,1104588000,2005-01-01T12:00:00,1015,0.4,70,26.7,61,18.6,25,0.0,1024,9.8,0.58
-22.2499,-45.7198,1104591600,2005-01-01T13:00:00,1014,0.0,182,28.9,55,18.9,30,0.0,1056,10.2,0.57
-22.2499,-45.7198,1104595200,2005-01-01T14:00:00,1014,0.4,208,29.3,54,19.0,30,0.0,1026,9.6,0.66
-22.2499,-45.7198,1104598800,2005-01-01T15:00:00,1013,1.2,192,29.6,53,19.0,32,0.0,925,7.8,0.86
-22.2499,-45.7198,1104602400,2005-01-01T16:00:00,1012,1.6,176,29.3,54,19.0,32,0.0,769,5.6,0.94
-22.2499,-45.7198,1104606000,2005-01-01T17:00:00,1012,2.4,150,27.4,54,17.3,50,0.0,530,3.0,1.06
-22.2499,-45.7198,1104609600,2005-01-01T18:00:00,1012,2.4,146,25.6,58,16.7,40,0.0,336,2.0,0.92
-22.2499,-45.7198,1104613200,2005-01-01T19:00:00,1012,2.0,144,25.2,68,18.9,26,0.0,120,1.7,0.71
-22.2499,-45.7198,1104616800,2005-01-01T20:00:00,1013,1.2,106,23.7,71,18.1,31,0.0,0,0.0,0.55
-22.2499,-45.7198,1104620400,2005-01-01T21:00:00,1014,1.6,116,23.3,69,17.3,53,0.0,0,0.0,0.59
-22.2499,-45.7198,1104624000,2005-01-01T22:00:00,1015,1.6,108,22.6,71,17.1,84,0.0,0,0.0,0.56
-22.2499,-45.7198,1104627600,2005-01-01T23:00:00,1016,1.6,88,21.9,74,17.1,89,0.0,0,0.0,0.52
-22.2499,-45.7198,1104631200,2005-01-02T00:00:00,1016,1.6,58,21.1,78,17.1,90,0.0,0,0.0,0.47
-22.2499,-45.7198,1104634800,2005-01-02T01:00:00,1017,1.6,40,21.1,81,17.7,71,0.0,0,0.0,0.45
-22.2499,-45.7198,1104638400,2005-01-02T02:00:00,1017,1.6,36,20.7,83,17.7,29,0.0,0,0.0,0.43
-22.2499,-45.7198,1104642000,2005-01-02T03:00:00,1016,1.2,50,19.6,87,17.4,1,0.0,0,0.0,0.37
-22.2499,-45.7198,1104645600,2005-01-02T04:00:00,1016,0.8,78,19.3,87,17.1,20,0.0,0,0.0,0.37
-22.2499,-45.7198,1104649200,2005-01-02T05:00:00,1016,1.2,110,18.9,89,17.0,5,0.0,0,0.0,0.35
-22.2499,-45.7198,1104652800,2005-01-02T06:00:00,1016,1.2,98,18.5,91,17.0,0,0.0,0,0.0,0.34
-22.2499,-45.7198,1104656400,2005-01-02T07:00:00,1016,1.2,92,18.1,93,17.0,4,0.0,87,2.0,0.32
-22.2499,-45.7198,1104660000,2005-01-02T08:00:00,1017,1.6,50,22.2,74,17.3,5,0.0,310,2.5,0.52
-22.2499,-45.7198,1104663600,2005-01-02T09:00:00,1018,2.4,48,22.6,71,17.1,43,0.0,514,2.9,0.64
-22.2499,-45.7198,1104667200,2005-01-02T10:00:00,1018,2.8,46,23.0,71,17.5,62,0.0,615,3.8,0.7
-22.2499,-45.7198,1104670800,2005-01-02T11:00:00,1017,2.8,38,23.3,69,17.3,57,0.0,796,5.8,0.74
-22.2499,-45.7198,1104674400,2005-01-02T12:00:00,1017,2.4,22,24.1,66,17.4,28,0.0,1023,9.6,0.75
-22.2499,-45.7198,1104678000,2005-01-02T13:00:00,1017,2.8,10,25.9,55,16.2,31,0.0,1063,10.1,1.06
-22.2499,-45.7198,1104681600,2005-01-02T14:00:00,1016,2.8,4,26.3,57,17.1,43,0.0,993,8.5,1.05
-22.2499,-45.7198,1104685200,2005-01-02T15:00:00,1016,2.4,352,27.4,54,17.3,27,0.0,939,8.1,1.06
-22.2499,-45.7198,1104688800,2005-01-02T16:00:00,1015,1.2,336,26.7,54,16.6,56,0.0,688,4.4,0.74
-22.2499,-45.7198,1104692400,2005-01-02T17:00:00,1014,0.8,90,26.7,49,15.1,27,0.0,581,3.7,0.68
-22.2499,-45.7198,1104696000,2005-01-02T18:00:00,1013,2.0,114,25.6,54,15.6,18,0.0,352,2.4,0.88
-22.2499,-45.7198,1104699600,2005-01-02T19:00:00,1014,1.6,72,23.7,65,16.7,39,0.5,118,1.5,0.63
-22.2499,-45.7198,1104703200,2005-01-02T20:00:00,1015,2.0,50,21.9,74,17.1,22,0.0,0,0.0,0.55
-22.2499,-45.7198,1104706800,2005-01-02T21:00:00,1016,2.4,34,21.1,78,17.1,20,0.0,0,0.0,0.52
-22.2499,-45.7198,1104710400,2005-01-02T22:00:00,1017,2.8,22,20.4,81,17.0,81,0.0,0,0.0,0.49
-22.2499,-45.7198,1104714000,2005-01-02T23:00:00,1018,1.2,354,20.0,83,17.0,91,0.0,0,0.0,0.4
-22.2499,-45.7198,1104717600,2005-01-03T00:00:00,1018,0.0,328,20.4,81,17.0,73,0.0,0,0.0,0.4
-22.2499,-45.7198,1104721200,2005-01-03T01:00:00,1018,1.2,88,18.5,93,17.3,44,0.0,0,0.0,0.33
-22.2499,-45.7198,1104724800,2005-01-03T02:00:00,1017,1.6,90,18.1,93,17.0,36,0.0,0,0.0,0.31
-22.2499,-45.7198,1104728400,2005-01-03T03:00:00,1016,1.6,84,18.1,93,17.0,30,0.0,0,0.0,0.31
-22.2499,-45.7198,1104732000,2005-01-03T04:00:00,1016,1.6,84,17.8,93,16.7,24,0.0,0,0.0,0.31
-22.2499,-45.7198,1104735600,2005-01-03T05:00:00,1016,1.6,74,17.8,93,16.7,22,0.0,0,0.0,0.31
-22.2499,-45.7198,1104739200,2005-01-03T06:00:00,1016,1.6,62,18.5,93,17.3,38,0.0,0,0.0,0.32
-22.2499,-45.7198,1104742800,2005-01-03T07:00:00,1017,2.4,50,18.5,91,17.0,80,0.0,47,0.9,0.33
-22.2499,-45.7198,1104746400,2005-01-03T08:00:00,1018,4.0,48,20.0,79,16.2,99,0.0,106,0.8,0.58
-22.2499,-45.7198,1104750000,2005-01-03T09:00:00,1018,3.6,40,20.7,79,16.9,100,0.0,128,1.3,0.57
-22.2499,-45.7198,1104753600,2005-01-03T10:00:00,1018,3.6,30,21.1,78,17.1,100,0.0,154,2.1,0.6
-22.2499,-45.7198,1104757200,2005-01-03T11:00:00,1018,3.6,24,21.5,78,17.5,100,0.0,172,2.9,0.62
-22.2499,-45.7198,1104760800,2005-01-03T12:00:00,1018,3.2,16,22.6,74,17.7,100,0.0,182,3.7,0.68
-22.2499,-45.7198,1104764400,2005-01-03T13:00:00,1017,3.2,14,24.8,62,17.0,94,0.0,254,4.5,0.98
-22.2499,-45.7198,1104768000,2005-01-03T14:00:00,1016,2.8,20,25.6,59,17.0,90,0.0,358,4.6,0.99
-22.2499,-45.7198,1104771600,2005-01-03T15:00:00,1015,2.8,22,26.3,54,16.3,83,0.0,477,4.3,1.1
-22.2499,-45.7198,1104775200,2005-01-03T16:00:00,1014,2.4,26,27.4,48,15.4,41,0.0,760,5.1,1.14
-22.2499,-45.7198,1104778800,2005-01-03T17:00:00,1013,1.6,26,27.4,50,16.1,89,0.0,216,1.8,0.9
-22.2499,-45.7198,1104782400,2005-01-03T18:00:00,1012,2.0,36,26.7,49,15.1,98,0.0,126,0.9,0.98
-22.2499,-45.7198,1104786000,2005-01-03T19:00:00,1013,2.4,20,24.1,65,17.1,100,0.0,59,0.7,0.76
-22.2499,-45.7198,1104789600,2005-01-03T20:00:00,1014,1.6,8,21.5,78,17.5,100,0.0,0,0.0,0.48
-22.2499,-45.7198,1104793200,2005-01-03T21:00:00,1015,0.8,22,21.1,79,17.3,100,0.0,0,0.0,0.43
-22.2499,-45.7198,1104796800,2005-01-03T22:00:00,1016,1.6,68,20.7,79,16.9,100,1.0,0,0.0,0.45
-22.2499,-45.7198,1104800400,2005-01-03T23:00:00,1016,2.4,70,20.0,83,17.0,99,0.5,0,0.0,0.44
-22.2499,-45.7198,1104804000,2005-01-04T00:00:00,1016,2.0,52,19.6,83,16.6,99,0.0,0,0.0,0.41
-22.2499,-45.7198,1104807600,2005-01-04T01:00:00,1016,1.2,44,18.9,89,17.0,100,0.0,0,0.0,0.35
